BioMedGraphica_Conn_ID,BioMedGraphica_ID,NCBI_Gene_ID,Ensembl_Gene_ID_Version,Gene_Start,Gene_End,Chromosome,Gene_Type,Ensembl_Gene_ID,HGNC_ID,Gene_Name,RefSeq_ID,OMIM_ID,HGNC_Symbol
BMGC_GN00012,BMG_GN000022,100009676,ENSG00000256628.5,101676421,101679217,3,lncRNA,ENSG00000256628,HGNC:48573,ZBTB11 antisense RNA 1,,,ZBTB11-AS1
BMGC_GN00013,BMG_GN000023,10001,ENSG00000133997.12,70581257,70600690,14,protein_coding,ENSG00000133997,HGNC:19970,mediator complex subunit 6,,602984,MED6
BMGC_GN00014,BMG_GN000024,10002,ENSG00000278570.5,71792638,71818259,15,protein_coding,ENSG00000278570,HGNC:7974,nuclear receptor subfamily 2 group E member 3,NG_009113.2;NC_000015.10;NC_060939.1,604485,NR2E3
BMGC_GN00015,BMG_GN000025,10003,ENSG00000077616.11,90131515,90192894,11,protein_coding,ENSG00000077616,HGNC:14526,N-acetylated alpha-linked acidic dipeptidase 2,NC_000011.10;NW_019805497.1;NC_060935.1,611636,NAALAD2
BMGC_GN00016,BMG_GN000027,100033392,ENSG00000234680.1,39016969,39039594,9,unitary_pseudogene,ENSG00000234680,HGNC:33209,"vomeronasal 2 receptor 3, pseudogene",,,VN2R3P
BMGC_GN00017,BMG_GN000030,100033398,ENSG00000226348.1,77220406,77221258,16,unitary_pseudogene,ENSG00000226348,HGNC:33216,"vomeronasal 2 receptor 10, pseudogene",,,VN2R10P
BMGC_GN00018,BMG_GN000038,100033407,ENSG00000235974.2;ENSG00000307772.1,58009289;58012147,58025619;58025926,19,lncRNA;transcribed_unitary_pseudogene,ENSG00000235974;ENSG00000307772,HGNC:33225,"vomeronasal 2 receptor 19, pseudogene",,,VN2R19P
BMGC_GN00019,BMG_GN000040,100033409,ENSG00000234644.2,75724222,75724575,9,processed_pseudogene,ENSG00000234644,HGNC:33281,OTX2 pseudogene 1,,,OTX2P1
BMGC_GN00020,BMG_GN000041,100033411,ENSG00000282757.4,75693893,75701461,16,protein_coding,ENSG00000282757,HGNC:33345,double homeobox B,,618698,DUXB
BMGC_GN00021,BMG_GN000042,100033413,ENSG00000207063.1,25051477,25051571,15,snoRNA,ENSG00000207063,HGNC:33067,"small nucleolar RNA, C/D box 116-1",,605436,SNORD116-1
BMGC_GN00022,BMG_GN000043,100033414,ENSG00000207001.1,25054210,25054304,15,snoRNA,ENSG00000207001,HGNC:33068,"small nucleolar RNA, C/D box 116-2",,,SNORD116-2
BMGC_GN00023,BMG_GN000044,100033415,ENSG00000207014.1,25056860,25056954,15,snoRNA,ENSG00000207014,HGNC:33069,"small nucleolar RNA, C/D box 116-3",,,SNORD116-3
BMGC_GN00024,BMG_GN000045,100033416,ENSG00000275529.1,25059538,25059633,15,snoRNA,ENSG00000275529,HGNC:33070,"small nucleolar RNA, C/D box 116-4",,,SNORD116-4
BMGC_GN00025,BMG_GN000046,100033417,ENSG00000207191.1,25062333,25062427,15,snoRNA,ENSG00000207191,HGNC:33071,"small nucleolar RNA, C/D box 116-5",,,SNORD116-5
BMGC_GN00026,BMG_GN000047,100033418,ENSG00000207442.1,25065026,25065121,15,snoRNA,ENSG00000207442,HGNC:33072,"small nucleolar RNA, C/D box 116-6",,,SNORD116-6
BMGC_GN00027,BMG_GN000048,100033419,ENSG00000207133.1,25067788,25067882,15,snoRNA,ENSG00000207133,HGNC:33073,"small nucleolar RNA, C/D box 116-7",,,SNORD116-7
BMGC_GN00028,BMG_GN000049,100033420,ENSG00000207093.1,25070432,25070526,15,snoRNA,ENSG00000207093,HGNC:33074,"small nucleolar RNA, C/D box 116-8",,,SNORD116-8
BMGC_GN00029,BMG_GN000050,100033421,ENSG00000206727.1,25073107,25073201,15,snoRNA,ENSG00000206727,HGNC:33075,"small nucleolar RNA, C/D box 116-9",,,SNORD116-9
BMGC_GN00030,BMG_GN000051,100033422,ENSG00000200661.1,25074114,25074215,15,snoRNA,ENSG00000200661,HGNC:33076,"small nucleolar RNA, C/D box 116-10",,,SNORD116-10
BMGC_GN00031,BMG_GN000052,100033423,ENSG00000206609.1,25075929,25076020,15,snoRNA,ENSG00000206609,HGNC:33077,"small nucleolar RNA, C/D box 116-11",,,SNORD116-11
BMGC_GN00032,BMG_GN000053,100033424,ENSG00000207197.1,25077051,25077142,15,snoRNA,ENSG00000207197,HGNC:33078,"small nucleolar RNA, C/D box 116-12",,,SNORD116-12
BMGC_GN00033,BMG_GN000054,100033425,ENSG00000207137.1,25079058,25079149,15,snoRNA,ENSG00000207137,HGNC:33079,"small nucleolar RNA, C/D box 116-13",,,SNORD116-13
BMGC_GN00034,BMG_GN000055,100033426,ENSG00000206621.1,25080142,25080233,15,snoRNA,ENSG00000206621,HGNC:33080,"small nucleolar RNA, C/D box 116-14",,,SNORD116-14
BMGC_GN00035,BMG_GN000056,100033427,ENSG00000207174.1,25081287,25081378,15,snoRNA,ENSG00000207174,HGNC:33081,"small nucleolar RNA, C/D box 116-15",,,SNORD116-15
BMGC_GN00036,BMG_GN000057,100033428,ENSG00000207263.1,25082768,25082859,15,snoRNA,ENSG00000207263,HGNC:33082,"small nucleolar RNA, C/D box 116-16",,,SNORD116-16
BMGC_GN00037,BMG_GN000058,100033429,ENSG00000206656.1,25083588,25083679,15,snoRNA,ENSG00000206656,HGNC:33083,"small nucleolar RNA, C/D box 116-17",,,SNORD116-17
BMGC_GN00038,BMG_GN000059,100033430,ENSG00000206688.1,25085385,25085476,15,snoRNA,ENSG00000206688,HGNC:33084,"small nucleolar RNA, C/D box 116-18",,,SNORD116-18
BMGC_GN00039,BMG_GN000060,100033431,ENSG00000278715.1,25087662,25087753,15,snoRNA,ENSG00000278715,HGNC:33086,"small nucleolar RNA, C/D box 116-20",,,SNORD116-20
BMGC_GN00040,BMG_GN000061,100033432,ENSG00000277785.1,25088804,25088895,15,snoRNA,ENSG00000277785,HGNC:33087,"small nucleolar RNA, C/D box 116-21",,,SNORD116-21
BMGC_GN00041,BMG_GN000062,100033433,ENSG00000275127.1,25089923,25090014,15,snoRNA,ENSG00000275127,HGNC:33088,"small nucleolar RNA, C/D box 116-22",,,SNORD116-22
BMGC_GN00042,BMG_GN000063,100033434,ENSG00000207375.1,25091786,25091877,15,snoRNA,ENSG00000207375,HGNC:33089,"small nucleolar RNA, C/D box 116-23",,,SNORD116-23
BMGC_GN00043,BMG_GN000064,100033435,ENSG00000207279.1,25094037,25094128,15,snoRNA,ENSG00000207279,HGNC:33090,"small nucleolar RNA, C/D box 116-24",,,SNORD116-24
BMGC_GN00044,BMG_GN000065,100033436,ENSG00000252326.1,25097663,25097754,15,snoRNA,ENSG00000252326,HGNC:33091,"small nucleolar RNA, C/D box 116-25",,,SNORD116-25
BMGC_GN00045,BMG_GN000066,100033437,ENSG00000199712.1,25172635,25172716,15,snoRNA,ENSG00000199712,HGNC:33021,"small nucleolar RNA, C/D box 115-2",,,SNORD115-2
BMGC_GN00046,BMG_GN000067,100033438,ENSG00000251815.1,25099499,25099594,15,snoRNA,ENSG00000251815,HGNC:33092,"small nucleolar RNA, C/D box 116-26",,,SNORD116-26
BMGC_GN00047,BMG_GN000068,100033439,ENSG00000251896.1,25101575,25101666,15,snoRNA,ENSG00000251896,HGNC:33093,"small nucleolar RNA, C/D box 116-27",,,SNORD116-27
BMGC_GN00048,BMG_GN000069,100033440,ENSG00000199970.1,25174927,25175008,15,snoRNA,ENSG00000199970,HGNC:33022,"small nucleolar RNA, C/D box 115-3",,,SNORD115-3
BMGC_GN00049,BMG_GN000070,100033441,ENSG00000200680.1,25176832,25176913,15,snoRNA,ENSG00000200680,HGNC:33023,"small nucleolar RNA, C/D box 115-4",,,SNORD115-4
BMGC_GN00050,BMG_GN000071,100033442,ENSG00000200503.1,25178738,25178819,15,snoRNA,ENSG00000200503,HGNC:33024,"small nucleolar RNA, C/D box 115-5",,,SNORD115-5
BMGC_GN00051,BMG_GN000072,100033443,ENSG00000200812.1,25180497,25180578,15,snoRNA,ENSG00000200812,HGNC:33025,"small nucleolar RNA, C/D box 115-6",,,SNORD115-6
BMGC_GN00052,BMG_GN000073,100033444,ENSG00000278089.1,25182385,25182466,15,snoRNA,ENSG00000278089,HGNC:33026,"small nucleolar RNA, C/D box 115-7",,,SNORD115-7
BMGC_GN00053,BMG_GN000074,100033445,ENSG00000200726.1,25184306,25184387,15,snoRNA,ENSG00000200726,HGNC:33027,"small nucleolar RNA, C/D box 115-8",,,SNORD115-8
BMGC_GN00054,BMG_GN000075,100033446,ENSG00000199782.1,25185631,25185712,15,snoRNA,ENSG00000199782,HGNC:33028,"small nucleolar RNA, C/D box 115-9",,,SNORD115-9
BMGC_GN00055,BMG_GN000076,100033447,ENSG00000201943.1,25187536,25187616,15,snoRNA,ENSG00000201943,HGNC:33029,"small nucleolar RNA, C/D box 115-10",,,SNORD115-10
BMGC_GN00056,BMG_GN000077,100033448,ENSG00000200486.1,25189414,25189495,15,snoRNA,ENSG00000200486,HGNC:33030,"small nucleolar RNA, C/D box 115-11",,,SNORD115-11
BMGC_GN00057,BMG_GN000078,100033449,ENSG00000199453.1,25191416,25191497,15,snoRNA,ENSG00000199453,HGNC:33031,"small nucleolar RNA, C/D box 115-12",,,SNORD115-12
BMGC_GN00058,BMG_GN000079,100033450,ENSG00000273835.1,25193321,25193402,15,snoRNA,ENSG00000273835,HGNC:33032,"small nucleolar RNA, C/D box 115-13",,,SNORD115-13
BMGC_GN00059,BMG_GN000080,100033451,ENSG00000199960.1,25194921,25195001,15,snoRNA,ENSG00000199960,HGNC:33033,"small nucleolar RNA, C/D box 115-14",,,SNORD115-14
BMGC_GN00060,BMG_GN000081,100033453,ENSG00000201679.1,25197576,25197656,15,snoRNA,ENSG00000201679,HGNC:33034,"small nucleolar RNA, C/D box 115-15",,,SNORD115-15
BMGC_GN00061,BMG_GN000082,100033454,ENSG00000200757.1,25199448,25199529,15,snoRNA,ENSG00000200757,HGNC:33035,"small nucleolar RNA, C/D box 115-16",,,SNORD115-16
BMGC_GN00062,BMG_GN000083,100033455,ENSG00000201482.1,25201323,25201404,15,snoRNA,ENSG00000201482,HGNC:33036,"small nucleolar RNA, C/D box 115-17",,,SNORD115-17
BMGC_GN00063,BMG_GN000084,100033456,ENSG00000200163.1,25203227,25203308,15,snoRNA,ENSG00000200163,HGNC:33037,"small nucleolar RNA, C/D box 115-18",,,SNORD115-18
BMGC_GN00064,BMG_GN000085,100033458,ENSG00000199968.1,25204357,25204438,15,snoRNA,ENSG00000199968,HGNC:33038,"small nucleolar RNA, C/D box 115-19",,,SNORD115-19
BMGC_GN00065,BMG_GN000086,100033460,ENSG00000201969.1,25206262,25206343,15,snoRNA,ENSG00000201969,HGNC:33039,"small nucleolar RNA, C/D box 115-20",,,SNORD115-20
BMGC_GN00066,BMG_GN000087,100033603,ENSG00000199833.1,25208083,25208163,15,snoRNA,ENSG00000199833,HGNC:33040,"small nucleolar RNA, C/D box 115-21",,,SNORD115-21
BMGC_GN00067,BMG_GN000088,100033799,ENSG00000201326.1,25209918,25209999,15,snoRNA,ENSG00000201326,HGNC:33041,"small nucleolar RNA, C/D box 115-22",,,SNORD115-22
BMGC_GN00068,BMG_GN000089,100033800,ENSG00000201331.1,25211796,25211877,15,snoRNA,ENSG00000201331,HGNC:33042,"small nucleolar RNA, C/D box 115-23",,,SNORD115-23
BMGC_GN00069,BMG_GN000090,100033801,ENSG00000199489.1,25215541,25215622,15,snoRNA,ENSG00000199489,HGNC:33044,"small nucleolar RNA, C/D box 115-25",,,SNORD115-25
BMGC_GN00070,BMG_GN000091,100033802,ENSG00000275524.1,25218617,25218698,15,snoRNA,ENSG00000275524,HGNC:33045,"small nucleolar RNA, C/D box 115-26",,,SNORD115-26
BMGC_GN00071,BMG_GN000092,100033803,ENSG00000199704.1,25223246,25223327,15,snoRNA,ENSG00000199704,HGNC:33048,"small nucleolar RNA, C/D box 115-29",,,SNORD115-29
BMGC_GN00072,BMG_GN000093,100033804,ENSG00000200987.1,25225203,25225284,15,snoRNA,ENSG00000200987,HGNC:33049,"small nucleolar RNA, C/D box 115-30",,,SNORD115-30
BMGC_GN00073,BMG_GN000094,100033805,ENSG00000202188.1,25227109,25227190,15,snoRNA,ENSG00000202188,HGNC:33050,"small nucleolar RNA, C/D box 115-31",,,SNORD115-31
BMGC_GN00074,BMG_GN000095,100033806,ENSG00000200949.1,25228967,25229048,15,snoRNA,ENSG00000200949,HGNC:33051,"small nucleolar RNA, C/D box 115-32",,,SNORD115-32
BMGC_GN00075,BMG_GN000096,100033807,ENSG00000200593.1,25230838,25230919,15,snoRNA,ENSG00000200593,HGNC:33052,"small nucleolar RNA, C/D box 115-33",,,SNORD115-33
BMGC_GN00076,BMG_GN000097,100033808,ENSG00000199311.1,25232387,25232468,15,snoRNA,ENSG00000199311,HGNC:33053,"small nucleolar RNA, C/D box 115-34",,,SNORD115-34
BMGC_GN00077,BMG_GN000098,100033809,ENSG00000201992.1,25234247,25234328,15,snoRNA,ENSG00000201992,HGNC:33054,"small nucleolar RNA, C/D box 115-35",,,SNORD115-35
BMGC_GN00078,BMG_GN000099,100033810,ENSG00000202499.1,25236085,25236166,15,snoRNA,ENSG00000202499,HGNC:33055,"small nucleolar RNA, C/D box 115-36",,,SNORD115-36
BMGC_GN00079,BMG_GN000100,100033811,ENSG00000200638.1,25237986,25238067,15,snoRNA,ENSG00000200638,HGNC:33056,"small nucleolar RNA, C/D box 115-37",,,SNORD115-37
BMGC_GN00080,BMG_GN000101,100033812,ENSG00000201907.1,25239838,25239919,15,snoRNA,ENSG00000201907,HGNC:33057,"small nucleolar RNA, C/D box 115-38",,,SNORD115-38
BMGC_GN00081,BMG_GN000102,100033813,ENSG00000200564.1,25241746,25241827,15,snoRNA,ENSG00000200564,HGNC:33058,"small nucleolar RNA, C/D box 115-39",,,SNORD115-39
BMGC_GN00082,BMG_GN000103,100033814,ENSG00000272460.1,25243614,25243695,15,snoRNA,ENSG00000272460,HGNC:33059,"small nucleolar RNA, C/D box 115-40",,,SNORD115-40
BMGC_GN00083,BMG_GN000104,100033815,ENSG00000200478.1,25245478,25245559,15,snoRNA,ENSG00000200478,HGNC:33060,"small nucleolar RNA, C/D box 115-41",,,SNORD115-41
BMGC_GN00084,BMG_GN000105,100033816,ENSG00000201143.1,25247345,25247426,15,snoRNA,ENSG00000201143,HGNC:33061,"small nucleolar RNA, C/D box 115-42",,,SNORD115-42
BMGC_GN00085,BMG_GN000106,100033817,ENSG00000202373.1,25249198,25249279,15,snoRNA,ENSG00000202373,HGNC:33062,"small nucleolar RNA, C/D box 115-43",,,SNORD115-43
BMGC_GN00086,BMG_GN000107,100033818,ENSG00000202261.1,25250859,25250940,15,snoRNA,ENSG00000202261,HGNC:33063,"small nucleolar RNA, C/D box 115-44",,,SNORD115-44
BMGC_GN00087,BMG_GN000108,100033819,ENSG00000284010.1,1996759,1996831,11,miRNA,ENSG00000284010,HGNC:33351,microRNA 675,,615509,MIR675
BMGC_GN00088,BMG_GN000109,100033820,ENSG00000278123.1,25104642,25104732,15,snoRNA,ENSG00000278123,HGNC:33347,"small nucleolar RNA, C/D box 116-28",,,SNORD116-28
BMGC_GN00089,BMG_GN000110,100033821,ENSG00000207245.1,25106521,25106603,15,snoRNA,ENSG00000207245,HGNC:33348,"small nucleolar RNA, C/D box 116-29",,,SNORD116-29
BMGC_GN00090,BMG_GN000111,100033822,ENSG00000201634.1,25269783,25269858,15,snoRNA,ENSG00000201634,HGNC:33343,"small nucleolar RNA, C/D box 115-48",,,SNORD115-48
BMGC_GN00091,BMG_GN000112,100034743,ENSG00000215859.10;ENSG00000290705.2,147993717;147994301,148009592;148016241,1,lncRNA;transcribed_unprocessed_pseudogene,ENSG00000215859;ENSG00000290705,HGNC:31974,PDZ domain containing 1 pseudogene 1,,,PDZK1P1
BMGC_GN00092,BMG_GN000113,100036563,ENSG00000200398.1,25213648,25213729,15,snoRNA,ENSG00000200398,HGNC:33043,"small nucleolar RNA, C/D box 115-24",,,SNORD115-24
BMGC_GN00093,BMG_GN000114,100036564,ENSG00000201300.1,25220497,25220578,15,snoRNA,ENSG00000201300,HGNC:33046,"small nucleolar RNA, C/D box 115-27",,,SNORD115-27
BMGC_GN00094,BMG_GN000115,100036565,ENSG00000200801.1,25222348,25222428,15,snoRNA,ENSG00000200801,HGNC:33047,"small nucleolar RNA, C/D box 115-28",,,SNORD115-28
BMGC_GN00095,BMG_GN000116,100036566,ENSG00000212380.1,25264510,25264590,15,snoRNA,ENSG00000212380,HGNC:33064,"small nucleolar RNA, C/D box 115-45",,,SNORD115-45
BMGC_GN00096,BMG_GN000117,100036567,ENSG00000212528.1,25268466,25268551,15,snoRNA,ENSG00000212528,HGNC:33065,"small nucleolar RNA, C/D box 115-47",,,SNORD115-47
BMGC_GN00097,BMG_GN000118,100036574,ENSG00000258967.1,68887785,68888084,14,processed_pseudogene,ENSG00000258967,HGNC:23343,high mobility group nucleosome binding domain 1 pseudogene 3,,,HMGN1P3
BMGC_GN00098,BMG_GN000119,100036575,ENSG00000224040.1,182942115,182942404,1,processed_pseudogene,ENSG00000224040,HGNC:39336,high mobility group nucleosome binding domain 1 pseudogene 4,,,HMGN1P4
BMGC_GN00099,BMG_GN000120,100037267,ENSG00000256189.1,73991283,73992180,11,processed_pseudogene,ENSG00000256189,HGNC:56531,DPPA4 pseudogene 3,,,DPPA4P3
BMGC_GN00100,BMG_GN000121,100037280,ENSG00000225022.1,5292388,5292831,20,processed_pseudogene,ENSG00000225022,HGNC:33349,ubiquitin conjugating enzyme E2 D3 pseudogene 1,,,UBE2D3P1
BMGC_GN00101,BMG_GN000122,100037417,ENSG00000099974.8,23966888,23972556,22,protein_coding,ENSG00000099974,HGNC:33446,D-dopachrome tautomerase like,NC_000022.11;NT_187633.1,,DDTL
BMGC_GN00102,BMG_GN000123,100038246,ENSG00000236311.7,101089321,101141438,10,lncRNA,ENSG00000236311,HGNC:37183,TLX1 neighbor,,612734,TLX1NB
BMGC_GN00103,BMG_GN000124,10004,ENSG00000168060.16,65044818,65058553,11,protein_coding,ENSG00000168060,HGNC:23536,N-acetylated alpha-linked acidic dipeptidase like 1,NC_000011.10;NC_060935.1,602640,NAALADL1
BMGC_GN00104,BMG_GN000125,100048903,ENSG00000235963.1,29907783,29908645,6,unprocessed_pseudogene,ENSG00000235963,HGNC:33449,mitochondrial coiled-coil domain 1 pseudogene 1,,,MCCD1P1
BMGC_GN00105,BMG_GN000126,100048904,ENSG00000233677.1,29906543,29906909,6,unprocessed_pseudogene,ENSG00000233677,HGNC:33450,DEAD-box helicase 39B pseudogene 1,,,DDX39BP1
BMGC_GN00106,BMG_GN000127,100048907,ENSG00000233916.1,29708125,29708547,6,transcribed_processed_pseudogene,ENSG00000233916,HGNC:33456,zinc finger DHHC-type containing 20 pseudogene 1,,,ZDHHC20P1
BMGC_GN00107,BMG_GN000128,100048908,ENSG00000223702.1,31380411,31380839,6,processed_pseudogene,ENSG00000223702,HGNC:33457,zinc finger DHHC-type containing 20 pseudogene 2,,,ZDHHC20P2
BMGC_GN00108,BMG_GN000129,100048909,ENSG00000227609.2,29577459,29577748,6,processed_pseudogene,ENSG00000227609,HGNC:33458,TMEM183A pseudogene 1,,,TMEM183AP1
BMGC_GN00109,BMG_GN000130,100048912,ENSG00000240498.10,21994139,22212895,9,lncRNA,ENSG00000240498,HGNC:34341,CDKN2B antisense RNA 1,NC_000009.12;NC_060933.1,613149,CDKN2B-AS1
BMGC_GN00110,BMG_GN000131,100048922,ENSG00000225644.1,33389374,33389475,6,processed_pseudogene,ENSG00000225644,HGNC:33460,ribosomal protein L35a pseudogene 4,,,RPL35AP4
BMGC_GN00111,BMG_GN000132,100048923,ENSG00000238024.1;ENSG00000310512.1,29993075;29993209,29993605;29994141,6,lncRNA;transcribed_unprocessed_pseudogene,ENSG00000238024;ENSG00000310512,HGNC:33461,DEAD-box helicase 39B pseudogene 2,,,DDX39BP2
BMGC_GN00112,BMG_GN000133,100048924,ENSG00000224312.1,29994437,29995314,6,transcribed_unprocessed_pseudogene,ENSG00000224312,HGNC:33462,mitochondrial coiled-coil domain 1 pseudogene 2,,,MCCD1P2
BMGC_GN00113,BMG_GN000134,100049076,ENSG00000235558.3,71220356,71259238,5,transcribed_unprocessed_pseudogene,ENSG00000235558,HGNC:54970,GUSB pseudogene 17,,,GUSBP17
BMGC_GN00114,BMG_GN000135,100049587,ENSG00000254415.4,51639478,51646825,19,protein_coding,ENSG00000254415,HGNC:32926,sialic acid binding Ig like lectin 14,NC_000019.10;NC_060943.1,618132,SIGLEC14
BMGC_GN00115,BMG_GN000138,100049716,ENSG00000177406.6,630858,664196,12,lncRNA,ENSG00000177406,HGNC:40405,NINJ2 antisense RNA 1,,,NINJ2-AS1
BMGC_GN00116,BMG_GN000139,100049717,ENSG00000231491.2,12287320,12288238,9,processed_pseudogene,ENSG00000231491,HGNC:49759,JNK1/MAPK8-associated membrane protein pseudogene 1,,,JKAMPP1
BMGC_GN00117,BMG_GN000140,10005,ENSG00000101473.17,45841721,45857405,20,protein_coding,ENSG00000101473,HGNC:15919,acyl-CoA thioesterase 8,NC_000020.11;NC_060944.1,608123,ACOT8
BMGC_GN00118,BMG_GN000141,10006,ENSG00000136754.18,26746593,26861087,10,protein_coding,ENSG00000136754,HGNC:11320,abl interactor 1,NC_000010.11;NC_060934.1;NG_030025.1,603050,ABI1
BMGC_GN00119,BMG_GN000142,10007,ENSG00000113552.16,141991749,142013041,5,protein_coding,ENSG00000113552,HGNC:4417,glucosamine-6-phosphate deaminase 1,NC_000005.10;NC_060929.1,601798,GNPDA1
BMGC_GN00120,BMG_GN000143,100073347,ENSG00000268654.3,56840853,56848560,19,lncRNA,ENSG00000268654,HGNC:33464,MER1 repeat containing imprinted transcript 1,,620407,MIMT1
BMGC_GN00121,BMG_GN000144,10008,ENSG00000175538.11,74454841,74467729,11,protein_coding,ENSG00000175538,HGNC:6243,potassium voltage-gated channel subfamily E regulatory subunit 3,NC_000011.10;NC_060935.1;NG_011833.1,604433,KCNE3
BMGC_GN00122,BMG_GN000145,10009,ENSG00000177485.7,120250752,120258398,X,protein_coding,ENSG00000177485,HGNC:16682,zinc finger and BTB domain containing 33,NG_021334.1;NC_000023.11;NC_060947.1,300329,ZBTB33
BMGC_GN00123,BMG_GN000146,100093624,ENSG00000253492.1,70132679,70132973,5,unprocessed_pseudogene,ENSG00000253492,HGNC:37699,cadherin 12 pseudogene 3,,,CDH12P3
BMGC_GN00124,BMG_GN000147,100093625,ENSG00000254335.1,70860285,70860579,5,unprocessed_pseudogene,ENSG00000254335,HGNC:37698,cadherin 12 pseudogene 1,,,CDH12P1
BMGC_GN00125,BMG_GN000148,100093626,ENSG00000253900.1,71132993,71133287,5,transcribed_unprocessed_pseudogene,ENSG00000253900,HGNC:37700,cadherin 12 pseudogene 4,,,CDH12P4
BMGC_GN00126,BMG_GN000149,100093630,ENSG00000269893.11,118278462,118285316,4,lncRNA,ENSG00000269893,HGNC:33098,small nucleolar RNA host gene 8,,,SNHG8
BMGC_GN00127,BMG_GN000150,100093631,ENSG00000233369.8;ENSG00000293241.2,73154938;73175415,73205441;73207296,7,lncRNA;transcribed_processed_pseudogene,ENSG00000233369;ENSG00000293241,HGNC:51716,general transcription factor IIi pseudogene 4,,,GTF2IP4
BMGC_GN00128,BMG_GN000151,100093698,ENSG00000231216.1,13310652,13319933,X,lncRNA,ENSG00000231216,,unknown transcript,,,GS1-600G8.3
BMGC_GN00129,BMG_GN000152,1001,ENSG00000062038.15,68636189,68727468,16,protein_coding,ENSG00000062038,HGNC:1762,cadherin 3,NC_000016.10;NC_060940.1;NG_009096.2,114021,CDH3
BMGC_GN00130,BMG_GN000153,10010,ENSG00000136560.14,161136908,161236230,2,protein_coding,ENSG00000136560,HGNC:11562,TRAF family member associated NFKB activator,NC_000002.12;NC_060926.1,603893,TANK
BMGC_GN00131,BMG_GN000154,100101111,ENSG00000230931.2,18724415,18724904,13,processed_pseudogene,ENSG00000230931,HGNC:39676,GXYLT1 pseudogene 1,,,GXYLT1P1
BMGC_GN00132,BMG_GN000155,100101116,ENSG00000129816.6,6390390,6411564,Y,lncRNA,ENSG00000129816,HGNC:37981,"testis expressed transcript, Y-linked 1B",,,TTTY1B
BMGC_GN00133,BMG_GN000156,100101117,ENSG00000212856.7,6406059,6462091,Y,lncRNA,ENSG00000212856,HGNC:37982,"testis expressed transcript, Y-linked 2B",,,TTTY2B
BMGC_GN00134,BMG_GN000157,100101118,ENSG00000185700.11,6462388,6473691,Y,lncRNA,ENSG00000185700,HGNC:37622,"testis expressed transcript, Y-linked 8B",,,TTTY8B
BMGC_GN00135,BMG_GN000158,100101119,ENSG00000229707.1,39485379,39485865,9,processed_pseudogene,ENSG00000229707,HGNC:50370,S-phase kinase associated protein 1 pseudogene 3,,,SKP1P3
BMGC_GN00136,BMG_GN000159,100101120,ENSG00000147761.10,9706824,9723864,Y,lncRNA,ENSG00000147761,HGNC:37463,"testis expressed transcript, Y-linked 7B",,,TTTY7B
